cenario;requisito;change;nome;given;when;then;status;tarefa_implementacao;tarefa_prova
R2-QUA-01-S01;R2-QUA-01;r2-09-qualificacao-e-rastreabilidade;Novo requisito implementado;cenários normativos têm provas de execução;revisor avalia conclusão;status registra o escopo comprovado, links e limites sem usar quantidade de arquivos como evidência;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-QUA-01-S02;R2-QUA-01;r2-09-qualificacao-e-rastreabilidade;Evidência incompatível;teste verifica apenas status e requisito exige corpo/identidade;relatório declara atendimento integral;gate reprova conclusão e mantém gap aberto;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-QUA-01-S03;R2-QUA-01;r2-09-qualificacao-e-rastreabilidade;Decisão ainda pendente;documentos evoluíram mas responsável não aprovou P-01 a P-11;revisão atualiza status;"pendência permanece aberta; não presume avanço por commit ou lembrete";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-QUA-02-S01;R2-QUA-02;r2-09-qualificacao-e-rastreabilidade;Ambiente limpo;clone não contém collection privada nem seed histórico;pipeline sobe o ambiente de teste;fixtures locais habilitam todos os cenários obrigatórios sem segredos reais;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-QUA-02-S02;R2-QUA-02;r2-09-qualificacao-e-rastreabilidade;Regressão do eco;conector devolve input em vez de resposta;suite executa sucesso SYNC e ASYNC;falha apesar de status SUCCEEDED;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-QUA-02-S03;R2-QUA-02;r2-09-qualificacao-e-rastreabilidade;Regressão financeira;saldo capturado deixa de contar no limite;suite executa duas capturas e terceira tentativa acima do saldo;falha se terceira chamada externa ocorrer;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-QUA-03-S01;R2-QUA-03;r2-09-qualificacao-e-rastreabilidade;PR de backend;mudança altera corpo público ou envelope;pipeline compara contratos e roda consumidores;incompatibilidade não negociada bloqueia merge/promoção;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-QUA-03-S02;R2-QUA-03;r2-09-qualificacao-e-rastreabilidade;UI sem backend;jornada funciona só com mocks;equipe tenta marcar pronta;gate de integração real não passa, embora build de UI possa passar;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-QUA-03-S03;R2-QUA-03;r2-09-qualificacao-e-rastreabilidade;P0 reaberto;ensaio de callback perde recibo confirmado;há release candidato;ativação do fluxo afetado é bloqueada até corrigir ou manter explicitamente indisponível;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-QUA-04-S01;R2-QUA-04;r2-09-qualificacao-e-rastreabilidade;Importação deste pacote;repositório contém change v4 aberta e não contém openspec/specs;arquivos R2 são adicionados;"não substituem specs históricas nem marcam tarefas concluídas; validação trata changes R2 separadamente";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-QUA-04-S02;R2-QUA-04;r2-09-qualificacao-e-rastreabilidade;Mudança R2 concluída;todos os cenários da change têm prova e gates pertinentes passaram;equipe consolida a especificação;preserva IDs e histórico, resolve baseline/deltas sem esconder requisitos v4 ainda abertos;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-QUA-04-S03;R2-QUA-04;r2-09-qualificacao-e-rastreabilidade;Regressão posterior;nova versão invalida garantia antes demonstrada;auditoria recebe evidência;status reabre com referência ao novo SHA, sem apagar prova histórica nem reduzir requisito;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
